tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
530,37:58.5,46:48.6,474,5 Ave & E 29 St,40.7451677,-73.98683077,285,Broadway & E 14 St,40.73454567,-73.99074142,15224,Subscriber,1974,2
512,05:17.0,13:49.1,295,Pike St & E Broadway,40.71406667,-73.99293911,342,Columbia St & Rivington St,40.71739973,-73.98016555,28784,Subscriber,1975,1
179,58:18.7,01:18.1,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,34323,Subscriber,1983,1
755,53:24.3,05:59.3,448,W 37 St & 10 Ave,40.75660359,-73.9979009,493,W 45 St & 6 Ave,40.7568001,-73.98291153,31438,Customer,1986,1
305,20:58.9,26:04.1,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,450,W 49 St & 8 Ave,40.76227205,-73.98788205,30830,Subscriber,1959,1
1186,47:12.5,06:59.0,514,12 Ave & W 40 St,40.76087502,-74.00277668,423,W 54 St & 9 Ave,40.76584941,-73.98690506,17017,Customer,1988,1
806,02:49.0,16:15.9,435,W 21 St & 6 Ave,40.74173969,-73.99415556,529,W 42 St & 8 Ave,40.7575699,-73.99098507,15367,Subscriber,1990,2
1437,14:41.4,38:38.9,304,Broadway & Battery Pl,40.70463334,-74.01361706,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,38490,Customer,1992,2
4100,55:51.8,04:12.0,3165,Central Park West & W 72 St,40.77579377,-73.97620574,468,Broadway & W 56 St,40.7652654,-73.98192338,27530,Customer,1969,0
1080,00:26.6,18:27.3,3734,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,38937,Subscriber,1981,1
221,53:44.7,57:26.5,3467,W Broadway & Spring Street,40.72494672,-74.00165856,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,16890,Subscriber,1952,1
729,09:19.7,21:28.8,3382,Carroll St & Smith St,40.680611,-73.99475825,3795,10 St & 2 Ave,40.671907,-73.993612,17461,Subscriber,2000,1
615,28:43.8,38:59.2,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,3305,E 91 St & 2 Ave,40.7811223,-73.94965589,21627,Subscriber,1999,1
754,35:28.2,48:02.9,3403,4 Ave & 9 St,40.6705135,-73.98876585,3344,Pioneer St & Van Brunt St,40.679043,-74.011169,34083,Subscriber,1978,1
770,58:19.6,11:10.4,313,Washington Ave & Park Ave,40.69610226,-73.96751037,3067,Broadway & Whipple St,40.7016657,-73.9437303,16715,Subscriber,1989,2
438,39:16.6,46:35.5,3143,5 Ave & E 78 St,40.77632142,-73.96427393,3143,5 Ave & E 78 St,40.77632142,-73.96427393,38794,Customer,1969,0
228,07:20.9,11:09.8,229,Great Jones St,40.72743423,-73.99379025,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,39532,Subscriber,1936,2
940,13:20.4,29:00.9,3160,Central Park West & W 76 St,40.77896784,-73.97374737,3675,3 Ave & E 95 St,40.7845968,-73.94968539,20991,Subscriber,1977,1
232,26:15.0,30:07.7,293,Lafayette St & E 8 St,40.73020661,-73.99102628,3708,W 13 St & 5 Ave,40.735445,-73.99431,31647,Subscriber,1989,2
1475,04:38.8,29:14.8,493,W 45 St & 6 Ave,40.7568001,-73.98291153,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,19356,Customer,1989,1
477,36:49.9,44:47.2,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,3160,Central Park West & W 76 St,40.77896784,-73.97374737,34957,Subscriber,1976,2
408,33:08.8,39:57.1,3336,E 97 St & Madison Ave,40.787801,-73.953559,3305,E 91 St & 2 Ave,40.7811223,-73.94965589,28459,Subscriber,1980,2
326,59:34.7,05:00.8,3463,E 16 St & Irving Pl,40.73536706,-73.98797393,461,E 20 St & 2 Ave,40.73587678,-73.98205027,19081,Subscriber,1986,2
385,07:16.9,13:42.2,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,3131,E 68 St & 3 Ave,40.7671284,-73.96224618,30735,Subscriber,1991,1
398,06:52.5,13:30.7,442,W 27 St & 7 Ave,40.746647,-73.993915,434,9 Ave & W 18 St,40.74317449,-74.00366443,18066,Subscriber,1985,1
348,01:25.0,07:13.6,3343,W 107 St & Columbus Ave,40.7997568,-73.96211287,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,35330,Subscriber,1990,2
