"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"50106407",,"Queens","12615","LIBERTY AVE","11419","7188447300",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2021-07-15T06:01:06.000",,"40.688684530896","-73.817857839287","410","28","015802","4203949","4095630022","QN55"
"50018473","PRESTIGE","Queens","9133","63RD DR","11374","7182752209","Jewish/Kosher","2016-07-28T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","9","A","2016-07-28T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.72694255319","-73.864399779362","406","29","069500","4072814","4031030048","QN18"
"50072808","CANELA COLOMBIAN RESTAURANT & BAKERY","Brooklyn","4601","5 AVENUE","11220","7185763491","Spanish","2018-02-27T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","5","A","2018-02-27T00:00:00.000","2021-07-15T06:00:56.000","Pre-permit (Operational) / Re-inspection","40.647251061356","-74.008068453129","307","38","009600","3011895","3007570008","BK34"
"41354409","CAFE PETISCO","Manhattan","189","EAST BROADWAY","10002","2123870366","Mediterranean","2018-04-11T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","12","A","2018-04-11T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.714162923494","-73.988795949001","103","01","000600","1003616","1002840016","MN28"
"41271290","SABOR LATINO SEAFOOD RESTAURANT","Bronx","2161","STARLING AVENUE","10462","7188220899","Seafood","2019-04-30T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","11","A","2019-04-30T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.836271466055","-73.853070638634","209","18","022200","2041227","2039480001","BX46"
"50094948","HAINAN","Queens","4125","162ND ST","11358","9175637223","Korean","2019-08-21T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical","2","A","2019-08-21T00:00:00.000","2021-07-15T06:00:56.000","Pre-permit (Operational) / Re-inspection","40.761035658838","-73.803884284352","407","20","117100","4120481","4053360043","QN51"
"50002933","SUBWAY","Manhattan","367","WEST   34 STREET","10001","2125649191","Sandwiches","2019-06-28T00:00:00.000","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical","19",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.752935916004","-73.995224848542","104","03","011100","1013556","1007580005","MN13"
"50011745","SAUCE N CHEESE","Brooklyn","509","ALBANY AVENUE","11203","3474251450","Pizza","2017-11-02T00:00:00.000","Violations were cited in the following area(s).","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","Not Critical","12","A","2017-11-02T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.662592669331","-73.939982652392","309","41","087401","3038458","3014280001","BK60"
"50002580","OCHE A TU GUSTO","Manhattan","1573","ST NICHOLAS AVENUE","10040","6469644361","Latin American","2018-10-15T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","48",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.854069755945","-73.930266013953","112","10","027900","1064011","1021680046","MN35"
"41616526","MEERA DELI","Queens","1157","44 DRIVE","11101","7187847963","Sandwiches","2017-02-01T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical","21",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.748475545399","-73.949274190035","402","26","001900","4005229","4004470001","QN31"
"50055051","D'ANTAN","Brooklyn","667","CLASSON AVENUE","11238","7184843944","Italian","2018-01-05T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","7","A","2018-01-05T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.677373500356","-73.959159945406","308","35","030500","3028291","3011490011","BK61"
"50055051","D'ANTAN","Brooklyn","667","CLASSON AVENUE","11238","7184843944","Italian","2018-01-05T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","7","A","2018-01-05T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.677373500356","-73.959159945406","308","35","030500","3028291","3011490011","BK61"
